Name,Domestic City,Domestic State,County,City Coordinates
Utica Revitalization Project,Utica,New York,Oneida,"-75.2327, 43.1009"
NYS Attorney General Clinic,Syracuse,NY,Onondaga,"-76.1474, 43.0481"
NYS Attorney General Clinic,Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Glee Club annual fall retreat,Skaneateles,NY,Onondaga,"-76.4291, 42.9470"
Colloquium (Sloan Program),Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Dairy Industry Conferences - Herd Health and Nutrition Conference,Syracuse,New York,Onondaga,"-76.1474, 43.0481"
Dairy Industry Conferences - Northeast Dairy Producers Conference,Syracuse,New York,Onondaga,"-76.1474, 43.0482"
Dairy Industry Conferences - Cornell Nutrition Conference,Syracuse,New York,Onondaga,"-76.1474, 43.0483"
North American Intercollegiate Dairy Challenge - Academy,Syracuse,New York,Onondaga,"-76.1474, 43.0483"
North American Intercollegiate Dairy Challenge - National Contest,Syracuse,New York,Onondaga,"-76.1474, 43.0483"
Cooperative Business Management,Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Field Trips for PAM 5740,Ithaca and Syracuse,NY,Onondaga,"-76.1474, 43.0481"
Excavations at the Seneca Haudenosaunee White Springs site,Geneva,New York,Ontario,"-76.9856, 42.8680"
CHE-CCE Summer Internship Program,Canandaguia,New York,Ontario,"-77.2817, 42.8875"
Research regarding pollinators,"Geneva, Wolcott, Auburn, Watkins Glen",NY,Ontario,"-76.9856, 42.8680"
Green Infrastructure Workshop,Troy,NY,Rensselaer,"-73.6918, 42.7284"
Troy Urban Trails Project,Troy,NY,Rensselaer,"-73.6918, 42.7284"
Research regarding pollinators,"Geneva, Wolcott, Auburn, Watkins Glen",NY,Schuyler,"-76.8733, 42.3806"
Mass Incarceration and Family Life,Romulus,NY,Seneca,"-76.8340, 42.7525"
Native Bee Surveys in Apple Orchards (Learn to identify Native Bees),Finger Lakes Region,New York,Seneca,
Terra Interra (design studio in the Department of Landscape Architecture),Waterloo,NY,Seneca,"-76.8627, 42.9048"
Composition and theory: Revealing the cultural landscape_infrastructure as landscape,Keuka lake,NY,Steuben,"-77.142151, -42.29266"
NYS DEC pesticide monitoring program,"Albany, Yaphank, Riverhead",NY,Suffolk,"-72.9170, 40.8368"
Communcation for Entrepreneurs Tour of Rev: Ithaca Startup Works,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Sustainable Hospitality Principles,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Sustainable Hospitality Principles,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Cooperative Business Management,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Park Leadership Fellows - Community Service Days,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Park Leadership Fellows - Service Leadership Project,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Shelter Medicine Club Weekend Clinics,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Clinical Rotation in Shelter Medicine,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Cornell Legal Research Clinic,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Insect Ecology,Dryden,NY,Tompkins,"-76.2972, 42.4909"
Global Engagements: Living and Working in a Diverse World,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Exploring Science: Earth and Space,Ithaca,NY,Tompkins,"-76.5019, 42.4441"
SPIF Outreach,Ithaca,NY,Tompkins,"-76.5019, 42.4442"
Museum in the Dark,Ithaca,NY,Tompkins,"-76.5019, 42.4443"
The Public  Service Scholars Program: core course The Literature of American Social Action Movements,Ithaca,New York,Tompkins,"-76.5019, 42.4444"
Common Ground:  Education Beyond the Ivory Tower,Ithaca,New York,Tompkins,"-76.5019, 42.4445"
History of East Asian Martial Arts,Ithaca,NY,Tompkins,"-76.5019, 42.4446"
"Chinese Medicine and Healing""""""Chinese Medicine and Healing""""""""",Ithaca,NY,Tompkins,"-76.5019, 42.4447"
Ithaca High School Senior Seminar,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Engineers for a Sustainable World project teams,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Information Session and Proctoring for the North American Computational Linguistics Olympiad,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
"Biomedical Engineering Society, Undergraduate Chapter",Ithaca,NY,Tompkins,"-76.5019, 42.4440"
"Community Reentry"" Engagement Project""""ommunity ""Reentry"" Engageme""""mmunity ""Reentry""""""munity """"""""",Ithaca,New York,Tompkins,"-76.5019, 42.4440"
Stream Ecology,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
approximately 25 events/programs per semester,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
course assignment,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
Research activities conducted in the Development of Social Cognition lab,Ithaca,NY,Tompkins,"-76.5019, 42.4440"
"Mammalogy, Laboratory",Arnot Forest,NY,Tompkins,"-76.626181, 42.265415 "
